BASELINES-PERCENTILES,,,,,,,,,,,,
RESEARCH FIELDS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ALL YEARS
1.00%,79,70,68,54,46,36,29,23,16,9,4,44
10.00%,22,20,19,16,13,11,9,7,5,3,1,12
20.00%,13,12,11,10,8,7,6,5,3,2,1,7
50.00%,5,4,4,4,3,3,2,2,1,1,1,2
MICROBIOLOGY,,,,,,,,,,,,
0.01%,1081,1139,1203,895,2036,563,563,465,310,129,27,896
0.10%,631,638,631,467,405,318,231,171,147,61,14,381
1.00%,234,217,197,153,145,118,91,68,49,22,6,132
10.00%,68,65,60,49,41,37,30,22,15,7,2,37
20.00%,44,41,37,31,26,23,19,14,10,5,1,22
50.00%,19,17,16,13,11,10,9,6,4,2,1,7
MOLECULAR BIOLOGY & GENETICS,,,,,,,,,,,,
0.01%,4173,5637,5759,3725,3386,3150,1458,847,504,200,47,2577
0.10%,1523,1424,1348,1077,907,635,521,320,194,94,23,845
1.00%,495,446,396,344,282,226,173,121,75,35,9,248
10.00%,112,102,91,78,66,55,43,32,19,10,3,53
20.00%,65,59,53,46,39,33,26,20,12,6,2,29
50.00%,25,23,20,18,15,13,11,8,5,2,1,9
MULTIDISCIPLINARY,,,,,,,,,,,,
0.01%,1915,1739,2368,1740,1597,4311,891,659,365,182,23,3570
0.10%,1915,1739,2368,1494,1173,3570,430,361,316,105,21,891
1.00%,477,378,514,384,221,224,170,106,69,37,7,212
10.00%,77,89,69,64,46,42,30,22,14,7,2,32
20.00%,35,44,34,32,27,23,17,13,9,4,1,15
50.00%,3,5,4,5,9,7,6,5,3,1,1,3
NEUROSCIENCE & BEHAVIOR,,,,,,,,,,,,
0.01%,1440,1892,1715,1791,981,1170,605,570,316,132,42,1199
0.10%,688,751,665,596,451,380,275,189,131,53,15,458
1.00%,285,261,234,188,163,131,101,73,47,23,7,159
10.00%,84,77,70,60,51,42,33,24,16,8,3,44
20.00%,52,48,44,38,33,27,22,16,10,5,2,26
50.00%,21,20,18,16,14,12,10,7,5,2,1,9
PHARMACOLOGY & TOXICOLOGY,,,,,,,,,,,,
0.01%,1558,1263,1435,859,686,687,507,428,194,167,23,832
0.10%,638,468,503,391,336,277,211,152,86,49,12,327
1.00%,208,177,155,131,112,95,74,54,34,18,6,108
10.00%,59,53,48,41,36,32,26,19,13,7,2,31
20.00%,37,34,32,27,24,21,17,13,9,5,2,19
50.00%,15,14,13,12,10,9,8,6,4,2,1,6
PHYSICS,,,,,,,,,,,,
0.01%,2564,2388,1516,1247,1464,709,841,532,325,163,46,1225
0.10%,706,531,521,439,428,317,262,202,132,65,19,375
1.00%,175,159,152,131,120,101,85,66,46,24,7,106
10.00%,42,40,38,34,31,28,23,19,13,7,2,26
20.00%,25,24,22,20,19,17,14,11,8,4,2,15
50.00%,8,8,8,7,7,6,5,4,3,2,1,5
PLANT & ANIMAL SCIENCE,,,,,,,,,,,,
0.01%,1242,980,931,703,637,380,310,199,146,61,21,592
0.10%,384,348,333,293,225,177,140,103,61,30,10,233
1.00%,146,136,124,103,87,72,57,42,26,13,5,85
10.00%,43,40,37,32,27,23,19,14,9,5,2,24
20.00%,27,25,23,20,17,15,12,9,6,3,1,14
50.00%,10,10,9,8,7,6,5,4,3,1,1,4
PSYCHIATRY/PSYCHOLOGY,,,,,,,,,,,,
0.01%,1781,1368,1161,1414,696,772,497,367,142,79,35,915
0.10%,588,525,498,443,315,262,169,125,71,34,13,335
1.00%,229,201,184,146,115,90,70,47,29,14,5,116
10.00%,67,59,54,44,37,29,23,16,10,5,2,31
20.00%,42,36,33,28,23,19,15,11,7,3,1,17
50.00%,15,14,13,11,9,8,6,5,3,1,1,5
"SOCIAL SCIENCES, GENERAL",,,,,,,,,,,,
0.01%,796,862,838,925,462,320,316,217,115,69,22,538
0.10%,369,319,291,239,191,161,125,79,45,24,9,197
1.00%,130,113,103,84,71,58,47,32,20,10,4,69
10.00%,37,34,31,26,22,19,15,11,7,4,2,18
20.00%,22,20,18,16,14,12,10,7,5,3,1,10
50.00%,7,7,6,6,5,4,4,3,2,1,1,3
SPACE SCIENCE,,,,,,,,,,,,
0.01%,994,3339,2709,4939,1549,2174,5133,719,534,245,79,1311
0.10%,731,700,599,572,473,554,374,212,185,91,32,472
1.00%,242,242,210,191,166,154,110,88,59,31,11,155
10.00%,71,71,67,59,53,47,38,29,20,11,3,44
20.00%,44,44,41,37,33,29,24,19,13,7,2,26
50.00%,16,17,16,14,14,12,10,8,5,3,1,8
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,
